"Mathematik","Deutsch","Englisch","Biologie","Chemie","Physik","Informatik","Geschichte","Politik","Wirtschaft","Philosophie","Erdkunde","Kunst","Musik","Pädagogik","Religion","Französisch","Latein","Altgriechisch","Spanisch","Italienisch","Russisch","Niederländisch"
"75189b1a-a5b1-4596-aefd-d1bf0368f6d7",9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"a24b8eb4-603a-4c41-adb8-ddffae85d132",9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2380db69-91be-47ef-a4f6-39895c0e0ebf",7,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d0166d7c-942d-4fea-8070-099490f9e66c",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"0c1238d1-e907-40c8-a916-5547e68103b4",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a2231930-530d-4a81-97ee-5dc90c3518c1",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8b710921-d588-4007-ab3c-c3dd7b05b503",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0c0a7158-3c6f-4be5-8a51-95dd26d7c306",5,5,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0
"c3b8c6c5-34b8-4f5a-8b0e-36b82e0b928d",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a6705420-8b45-43f0-808d-2a5144348db8",5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4bd6e435-de33-4a56-87f7-a9b0c7abc223",0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"363df420-9c8d-4823-8e39-fc39d4d325ce",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cdc1a86c-4227-4b5e-9a3b-83c07ef955a3",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35a87b42-9d83-4095-b89e-70c4ca65663e",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"b63aaa1c-585c-455b-8245-359b363e9a83",0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d75c54c6-16d9-4f4c-86b0-fb052cf21578",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9852228b-33da-45a1-8f63-40393e27a450",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"839a683d-a119-46a9-96ac-239f3d06a606",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d1a04139-c0de-4208-add4-285ee9dd3e97",0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b367ef9d-f0b9-4fca-b0ae-00cbe0d273f3",5,5,5,5,0,0,0,5,0,0,0,5,5,5,0,0,5,0,0,0,0,0,0
"5063290c-b358-4ddb-8a0c-ff85ebc078b6",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa9fca86-a671-4b11-832d-1af5c1aa2023",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ed2ebd2-1e03-4468-a83e-5879e2931e5f",5,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f2c010e5-8cc8-4361-b202-4516bb87324d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"f0dbe143-26d2-4ec1-960a-060e032dd7e9",11,11,11,11,11,11,0,11,11,0,0,11,0,0,0,0,0,0,0,11,0,0,0
"b54e141a-61a8-4786-bd13-d0245b90d8e9",7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327a934e-b395-4ec1-87bd-8a0c6f0c61c0",7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f4146ca8-d0c0-42ae-8182-5a22795da47c",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35df75bb-2827-4aa1-86ca-5bd673efd59e",13,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c896b307-91fc-4301-a8bd-67a48556a67a",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"084430ac-d65a-4d02-b00b-e2ac785fa3a8",6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9b7ec196-ad54-47bc-9def-723aeb64c1e8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"83900602-cbde-4f31-aec0-34ef2e8398f8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"0d27d9fe-b51b-4d51-9419-8634aeece233",0,13,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"565af575-0a1d-4029-90e0-dacc2af5254a",0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b81e030-ba40-4962-8527-58a9f20af03c",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365716f3-3f10-46db-b4f1-4083763725c9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a983f80f-8996-4d0e-be30-c79cd02ba42c",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7eddad65-97bc-43f3-b9ed-beefbdb2cb40",10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a166f3ae-c3be-4658-b4cf-533341fb3b6d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"c01d9a2f-ed00-42a7-bd0d-9c0abc4349f0",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8cec5c16-7928-4601-9ad5-dd6ececde02f",8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
