uuid,"Mathematik","Deutsch","Englisch","Biologie","Chemie","Physik","Informatik","Geschichte","Politik","Wirtschaft","Philosophie","Erdkunde","Kunst","Musik","Pädagogik","Religion","Französisch","Latein","Altgriechisch","Spanisch","Italienisch","Russisch","Niederländisch"
"f54915eb-0b27-4b03-ad84-390c42a82746",10,13,13,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d61cb42-e4aa-47c8-ba80-871cf6fb9aad",13,0,0,0,13,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"e3415ceb-fe72-413e-8a74-6e2c52148776",13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31dbefd7-10e7-49c4-bd34-b40e4165e055",13,0,0,0,13,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"178275b2-0aa5-4b5a-b845-20be4e30bd18",13,13,13,13,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2a1e3764-348f-4e33-8549-2fe19b67f2c5",13,0,13,0,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"f26aa42a-fdb0-4990-9492-40b68faeb773",0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d1bc3d77-a439-476f-9657-2ce6caa5d6ee",13,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4b912ed4-0b65-468e-9e08-fa8bc727e020",0,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"fd49fec0-dd94-4d72-9ced-aefa492e75e7",13,13,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
